question_text,expected_answer,technology,bloom_level,bloom_score,complexity_score
"What is the difference between JDK, JRE, and JVM?",JDK (Java Development Kit) contains development tools and JRE. JRE (Java Runtime Environment) contains JVM and libraries needed to run Java applications. JVM (Java Virtual Machine) executes Java bytecode and provides platform independence.,java,Analyze,4,3
What is the main method in Java?,The main method is the entry point of a Java program. It has the signature 'public static void main(String[] args)' and must be present in every executable Java class. The JVM calls this method to start program execution.,java,Remember,1,2
What are the primitive data types in Java?,"Java has 8 primitive data types: byte (1 byte), short (2 bytes), int (4 bytes), long (8 bytes), float (4 bytes), double (8 bytes), char (2 bytes), and boolean (1 bit). These are stored directly in memory and not as objects.",java,Remember,1,2
What is the difference between == and equals() method?,"== compares references (memory addresses) for objects and values for primitives. equals() method compares the actual content/values of objects. For String comparison, use equals() to compare values, not ==.",java,Analyze,4,4
What is a constructor in Java?,"A constructor is a special method that initializes objects when they are created. It has the same name as the class, no return type, and is called automatically when an object is instantiated using the 'new' keyword.",java,Remember,1,2
What is method overloading?,"Method overloading allows multiple methods with the same name but different parameters (different number, type, or order). The compiler determines which method to call based on the arguments provided at compile time.",java,Remember,1,3
"What is the difference between String, StringBuilder, and StringBuffer?","String is immutable - creates new objects for modifications. StringBuilder is mutable and not thread-safe, best for single-threaded operations. StringBuffer is mutable and thread-safe but slower due to synchronization.",java,Analyze,4,4
What is static keyword in Java?,"Static keyword creates class-level members that belong to the class rather than instances. Static variables are shared among all instances, static methods can be called without creating objects, and static blocks execute when the class is first loaded.",java,Remember,1,3
What is final keyword in Java?,"Final keyword restricts modification. Final variables cannot be reassigned, final methods cannot be overridden, and final classes cannot be extended. It ensures immutability and prevents inheritance when needed.",java,Remember,1,3
What is the difference between abstract class and interface?,"Abstract classes can have both abstract and concrete methods, constructors, and instance variables. Interfaces can only have abstract methods (until Java 8), constants, and support multiple inheritance. Java 8+ interfaces can have default and static methods.",java,Analyze,4,5
What is inheritance in Java?,Inheritance allows a class to acquire properties and methods from another class using 'extends' keyword. It promotes code reusability and establishes IS-A relationship. Java supports single inheritance for classes but multiple inheritance through interfaces.,java,Remember,1,3
What is polymorphism in Java?,"Polymorphism allows objects of different classes to be treated as objects of a common base class. It includes method overriding (runtime polymorphism) and method overloading (compile-time polymorphism), enabling flexible and reusable code.",java,Remember,1,4
What is encapsulation in Java?,"Encapsulation bundles data and methods that operate on that data within a single unit (class) and restricts direct access to some components. It's achieved using access modifiers (private, protected, public) and provides data hiding and security.",java,Remember,1,3
What is abstraction in Java?,"Abstraction hides implementation details and shows only essential features to the user. It's achieved through abstract classes and interfaces, allowing users to focus on what an object does rather than how it does it.",java,Remember,1,4
What is method overriding?,Method overriding allows a subclass to provide a specific implementation of a method already defined in its parent class. It enables runtime polymorphism and requires the same method signature as the parent class method.,java,Remember,1,3
What is super keyword in Java?,"Super keyword refers to the immediate parent class object. It's used to access parent class methods, constructors, and variables when they are overridden or hidden in the child class. Super() calls parent constructor.",java,Remember,1,3
What is this keyword in Java?,"This keyword refers to the current object instance. It's used to differentiate between instance variables and parameters with the same name, call other constructors in the same class, and pass the current object as a parameter.",java,Remember,1,2
What is ArrayList in Java?,"ArrayList is a resizable array implementation of the List interface. It provides dynamic arrays that can grow and shrink in size, allows duplicate elements, maintains insertion order, and provides random access to elements.",java,Remember,1,3
What is HashMap in Java?,"HashMap stores key-value pairs using hashing for fast retrieval. It allows null values and one null key, doesn't maintain order, and provides O(1) average time complexity for basic operations like get() and put().",java,Remember,1,4
What is the difference between HashMap and HashSet?,HashMap stores key-value pairs and allows duplicate values but unique keys. HashSet stores only unique elements (no duplicates) and is internally implemented using HashMap where elements are stored as keys with a dummy value.,java,Analyze,4,4
What is the difference between ArrayList and LinkedList?,ArrayList uses dynamic arrays providing fast random access (O(1)) but slow insertion/deletion in middle (O(n)). LinkedList uses doubly-linked nodes providing fast insertion/deletion (O(1)) but slow random access (O(n)).,java,Analyze,4,5
What is exception handling in Java?,"Exception handling manages runtime errors using try-catch-finally blocks. Try contains code that might throw exceptions, catch handles specific exceptions, and finally executes cleanup code regardless of whether exceptions occur.",java,Remember,1,4
What is the difference between checked and unchecked exceptions?,"Checked exceptions must be handled at compile time using try-catch or throws declaration (e.g., IOException). Unchecked exceptions occur at runtime and don't require explicit handling (e.g., NullPointerException, ArrayIndexOutOfBoundsException).",java,Analyze,4,5
What is multithreading in Java?,Multithreading enables concurrent execution of multiple threads within a program. It's achieved by extending Thread class or implementing Runnable interface. Java provides synchronization mechanisms to handle shared resources safely.,java,Remember,1,6
What is synchronization in Java?,"Synchronization controls access to shared resources in multithreaded environments to prevent data corruption. It's implemented using synchronized keyword, locks, or concurrent collections to ensure thread safety.",java,Remember,1,6
What is garbage collection in Java?,Garbage collection automatically manages memory by removing objects that are no longer referenced. The JVM periodically runs garbage collector using algorithms like mark-and-sweep to free up memory and prevent memory leaks.,java,Remember,1,7
What is Spring Framework?,"Spring is a comprehensive framework for enterprise Java development providing dependency injection, aspect-oriented programming, and integration with other technologies. It simplifies Java development and promotes loose coupling through IoC container.",java,Remember,1,5
What is dependency injection in Spring?,"Dependency injection is a design pattern where Spring container provides dependencies to objects rather than objects creating them. It promotes loose coupling and is implemented through constructor injection, setter injection, or field injection.",java,Remember,1,5
What is RESTful web service?,"REST (Representational State Transfer) is an architectural style for web services using HTTP methods (GET, POST, PUT, DELETE). It uses stateless communication, JSON/XML data formats, and URL-based resource identification.",java,Remember,1,4
What is JPA and Hibernate?,"JPA (Java Persistence API) is a specification for object-relational mapping in Java. Hibernate is a popular JPA implementation that provides automatic mapping between Java objects and database tables, reducing boilerplate code.",java,Remember,1,6
What is the difference between Composition and Aggregation relationships in Java?,"Composition is a strong 'part-of' relationship where child objects cannot exist without parent (House-Room). Aggregation is a weaker 'has-a' relationship where child objects can exist independently (Department-Employee). Composition implies ownership and lifecycle dependency, while aggregation implies usage without ownership.",java,Analyze,4,6
What is the difference between ClassLoader and Class.forName()?,"ClassLoader loads classes into JVM memory without initializing static blocks or variables. Class.forName() loads and initializes the class, executing static blocks and initializing static variables. ClassLoader provides more control over the loading process, while Class.forName() is simpler for basic class loading needs.",java,Analyze,4,8
What is the Proxy pattern and how is it implemented in Java?,"Proxy pattern provides a surrogate or placeholder for another object to control access to it. Java implements it through java.lang.reflect.Proxy for interfaces or CGLIB for classes. Dynamic proxies are created at runtime and can intercept method calls, commonly used in frameworks like Spring for AOP and transaction management.",java,Create,6,7
What is the difference between BiFunction and Function in Java 8?,"Function takes one argument and returns a result (T -> R). BiFunction takes two arguments and returns a result ((T, U) -> R). Both are functional interfaces used with lambda expressions and method references. BiFunction is useful for operations requiring two inputs like mathematical operations or comparisons.",java,Analyze,4,5
What is the difference between CopyOnWriteArrayList and Collections.synchronizedList()?,"CopyOnWriteArrayList creates a new copy of the underlying array for every write operation, making it thread-safe for concurrent reads but expensive for writes. Collections.synchronizedList() wraps an existing list with synchronized methods but requires external synchronization for iteration to avoid ConcurrentModificationException.",java,Analyze,4,8
What is the Builder pattern and when should it be used?,"Builder pattern constructs complex objects step by step, separating construction from representation. It's useful for objects with many optional parameters, avoiding telescoping constructors. Java implementations often use method chaining with a static inner Builder class, providing readable and flexible object creation.",java,Evaluate,5,6
What is the difference between Predicate and Function in Stream operations?,"Predicate represents a boolean-valued function used for filtering operations like filter(). It takes one argument and returns boolean. Function represents a transformation operation used in map(), taking one argument and returning a different type. Predicate tests conditions, Function transforms data.",java,Analyze,4,5
What is the difference between Serial and Parallel Garbage Collectors?,"Serial GC uses a single thread for garbage collection, suitable for small applications with heap sizes under 100MB. Parallel GC uses multiple threads for both young and old generation collection, better for multi-core systems and larger heaps. Serial has lower overhead, Parallel has better throughput.",java,Analyze,4,8
