text,entities
"Experienced in Python, React, and AWS cloud.","[(14, 20, 'SKILL'), (22, 27, 'SKILL'), (33, 36, 'SKILL')]"
"Worked with Docker, Kubernetes, and MySQL databases.","[(11, 17, 'SKILL'), (19, 29, 'SKILL'), (35, 40, 'SKILL')]"
"Proficient in Java, Spring Boot, and PostgreSQL.","[(13, 17, 'SKILL'), (19, 30, 'SKILL'), (36, 46, 'SKILL')]"
Developed APIs using Node.js and Express framework.,"[(20, 26, 'SKILL'), (31, 38, 'SKILL')]"
"Skilled in HTML, CSS, and JavaScript for frontend development.","[(11, 15, 'SKILL'), (17, 20, 'SKILL'), (26, 36, 'SKILL')]"
"Familiar with MongoDB, Firebase, and GraphQL.","[(14, 20, 'SKILL'), (22, 30, 'SKILL'), (36, 43, 'SKILL')]"
Built microservices using GoLang and gRPC.,"[(28, 34, 'SKILL'), (39, 43, 'SKILL')]"
Hands-on experience with TensorFlow and PyTorch.,"[(27, 37, 'SKILL'), (42, 49, 'SKILL')]"
Implemented CI/CD pipelines with Jenkins and GitLab.,"[(35, 42, 'SKILL'), (47, 53, 'SKILL')]"
"Knowledge of Azure cloud, Docker, and Kubernetes.","[(13, 18, 'SKILL'), (27, 33, 'SKILL'), (39, 49, 'SKILL')]"
Created ETL workflows with Apache Airflow and Spark.,"[(28, 42, 'SKILL'), (47, 52, 'SKILL')]"
"Experienced with Redis, RabbitMQ, and Kafka messaging.","[(18, 23, 'SKILL'), (25, 33, 'SKILL'), (39, 44, 'SKILL')]"
Worked on data visualization using Tableau and PowerBI.,"[(34, 41, 'SKILL'), (46, 53, 'SKILL')]"
"Expertise in C, C++, and C# programming languages.","[(12, 13, 'SKILL'), (15, 18, 'SKILL'), (24, 26, 'SKILL')]"
Developed mobile apps using Flutter and React Native.,"[(28, 35, 'SKILL'), (40, 52, 'SKILL')]"
Experience with Salesforce CRM and SAP HANA.,"[(18, 28, 'SKILL'), (33, 41, 'SKILL')]"
"Skilled in Rust, Elixir, and Scala programming.","[(11, 15, 'SKILL'), (17, 23, 'SKILL'), (29, 34, 'SKILL')]"
"Worked with Git, GitHub, and Bitbucket for version control.","[(11, 14, 'SKILL'), (16, 22, 'SKILL'), (28, 37, 'SKILL')]"
Implemented machine learning models in Scikit-learn and XGBoost.,"[(43, 55, 'SKILL'), (60, 67, 'SKILL')]"
Proficient with Natural Language Processing using NLTK and SpaCy.,"[(55, 59, 'SKILL'), (64, 69, 'SKILL')]"
"Knowledge of PHP, Laravel, and MySQL backend development.","[(13, 16, 'SKILL'), (18, 25, 'SKILL'), (31, 36, 'SKILL')]"
Experienced in DevOps practices with Ansible and Terraform.,"[(38, 45, 'SKILL'), (50, 59, 'SKILL')]"
Worked on big data using Hadoop and Spark ecosystem.,"[(25, 31, 'SKILL'), (36, 41, 'SKILL')]"
Built REST APIs using Django and Flask.,"[(21, 27, 'SKILL'), (32, 37, 'SKILL')]"
Developed dashboards with Kibana and Grafana.,"[(28, 34, 'SKILL'), (39, 46, 'SKILL')]"
"Skilled in Android, Kotlin, and Java mobile development.","[(11, 18, 'SKILL'), (20, 26, 'SKILL'), (32, 36, 'SKILL')]"
Hands-on experience with Unity3D and Unreal Engine.,"[(27, 34, 'SKILL'), (39, 52, 'SKILL')]"
Expert in blockchain development with Solidity and Web3.js.,"[(42, 50, 'SKILL'), (55, 62, 'SKILL')]"
"Familiar with R, MATLAB, and Julia for data science.","[(14, 15, 'SKILL'), (17, 23, 'SKILL'), (29, 34, 'SKILL')]"
"Experience with Linux, Bash scripting, and Shell.","[(18, 23, 'SKILL'), (25, 38, 'SKILL'), (44, 49, 'SKILL')]"
Worked with computer vision using OpenCV and YOLO.,"[(36, 42, 'SKILL'), (47, 51, 'SKILL')]"
Developed cloud functions with Google Cloud and Firebase.,"[(35, 47, 'SKILL'), (52, 60, 'SKILL')]"
Proficient in NLP tasks using Hugging Face Transformers.,"[(29, 42, 'SKILL')]"
Knowledge of Jenkins pipelines and CI/CD tools.,"[(13, 20, 'SKILL')]"
Implemented monitoring with Prometheus and Grafana.,"[(30, 40, 'SKILL'), (45, 52, 'SKILL')]"
Worked with microservices using Docker and Kubernetes.,"[(34, 40, 'SKILL'), (45, 55, 'SKILL')]"
Experienced in data pipelines using Apache Kafka.,"[(36, 47, 'SKILL')]"
Built recommendation systems with PyTorch and TensorFlow.,"[(38, 45, 'SKILL'), (50, 60, 'SKILL')]"
"Skilled in Spark, Hadoop, and Hive for data engineering.","[(11, 16, 'SKILL'), (18, 24, 'SKILL'), (30, 34, 'SKILL')]"
Worked on time-series analysis using Prophet and ARIMA.,"[(37, 44, 'SKILL'), (49, 54, 'SKILL')]"
Experience with data warehousing using Snowflake and Redshift.,"[(39, 48, 'SKILL'), (53, 61, 'SKILL')]"
Familiar with micro-frontend development in Angular.,"[(41, 48, 'SKILL')]"
Created containerized apps using Docker and Podman.,"[(34, 40, 'SKILL'), (45, 51, 'SKILL')]"
Worked on distributed computing with Dask and Ray.,"[(39, 43, 'SKILL'), (48, 51, 'SKILL')]"
"Proficient in Scala, Akka, and Play framework.","[(13, 18, 'SKILL'), (20, 24, 'SKILL'), (30, 34, 'SKILL')]"
Implemented search features using Elasticsearch and Solr.,"[(37, 50, 'SKILL'), (55, 59, 'SKILL')]"
Skilled in web automation with Selenium and Puppeteer.,"[(35, 43, 'SKILL'), (48, 57, 'SKILL')]"
Knowledge of blockchain with Hyperledger Fabric.,"[(31, 49, 'SKILL')]"
Developed AI models using Keras and TensorFlow.,"[(31, 36, 'SKILL'), (41, 51, 'SKILL')]"
Experience with REST APIs and GraphQL queries.,"[(18, 27, 'SKILL'), (32, 39, 'SKILL')]"
Familiar with data analysis using Pandas and NumPy.,"[(35, 41, 'SKILL'), (46, 51, 'SKILL')]"
Worked on cybersecurity projects with Wireshark and Metasploit.,"[(41, 50, 'SKILL'), (55, 65, 'SKILL')]"
"Proficient in Clojure, F#, and Haskell programming.","[(13, 20, 'SKILL'), (22, 24, 'SKILL'), (30, 37, 'SKILL')]"
Built APIs with Ruby on Rails and Sinatra.,"[(16, 29, 'SKILL'), (34, 41, 'SKILL')]"
Skilled in penetration testing using Burp Suite and OWASP ZAP.,"[(38, 47, 'SKILL'), (52, 61, 'SKILL')]"
Worked with ETL processes in Talend and Informatica.,"[(29, 35, 'SKILL'), (40, 51, 'SKILL')]"
Experience in CRM tools like HubSpot and Zoho CRM.,"[(31, 38, 'SKILL'), (43, 52, 'SKILL')]"
Developed AR/VR apps using ARKit and ARCore.,"[(28, 33, 'SKILL'), (38, 44, 'SKILL')]"
Familiar with distributed systems using Apache Cassandra.,"[(44, 60, 'SKILL')]"
Proficient in computer graphics with OpenGL and DirectX.,"[(39, 45, 'SKILL'), (50, 57, 'SKILL')]"
Worked on robotic process automation with UiPath.,"[(44, 50, 'SKILL')]"
Skilled in financial modeling using Excel and Power Query.,"[(39, 44, 'SKILL'), (49, 60, 'SKILL')]"
Created interactive dashboards using Plotly and Dash.,"[(38, 44, 'SKILL'), (49, 53, 'SKILL')]"
Experienced in computer security with Kali Linux.,"[(41, 51, 'SKILL')]"
Worked with functional programming using Erlang.,"[(44, 50, 'SKILL')]"
Knowledge of iOS development with Swift and Objective-C.,"[(36, 41, 'SKILL'), (46, 57, 'SKILL')]"
Built games using Cocos2d and Phaser engines.,"[(21, 28, 'SKILL'), (33, 39, 'SKILL')]"
Skilled in big data tools like Apache Hive and Pig.,"[(37, 47, 'SKILL'), (52, 55, 'SKILL')]"
Experience with NoSQL databases like DynamoDB and CouchDB.,"[(39, 47, 'SKILL'), (52, 59, 'SKILL')]"
Familiar with graph databases such as Neo4j.,"[(39, 44, 'SKILL')]"
Worked with machine learning pipelines in MLflow.,"[(45, 50, 'SKILL')]"
Proficient in reinforcement learning with Stable Baselines.,"[(44, 60, 'SKILL')]"
Developed backend APIs with FastAPI and Flask.,"[(34, 40, 'SKILL'), (45, 50, 'SKILL')]"
Skilled in frontend frameworks like Vue.js and Svelte.,"[(41, 46, 'SKILL'), (51, 57, 'SKILL')]"
Experience in container orchestration with OpenShift.,"[(44, 53, 'SKILL')]"
Worked on streaming data with Apache Flink.,"[(34, 46, 'SKILL')]"
Built scalable systems using Clojure and Kafka.,"[(32, 39, 'SKILL'), (44, 49, 'SKILL')]"
Familiar with search engines like Lucene and Whoosh.,"[(39, 45, 'SKILL'), (50, 56, 'SKILL')]"
Implemented deep learning models with MXNet and CNTK.,"[(43, 48, 'SKILL'), (53, 57, 'SKILL')]"
Proficient in big data frameworks like Storm and Samza.,"[(43, 48, 'SKILL'), (53, 58, 'SKILL')]"
Worked with robotic frameworks using ROS and MoveIt.,"[(40, 43, 'SKILL'), (48, 54, 'SKILL')]"
Experience in data mining with Weka and RapidMiner.,"[(35, 39, 'SKILL'), (44, 54, 'SKILL')]"
Developed business intelligence dashboards with QlikView.,"[(49, 57, 'SKILL')]"
Knowledge of network simulation using NS2 and OMNeT++.,"[(40, 43, 'SKILL'), (48, 55, 'SKILL')]"
Skilled in optimization techniques with Gurobi and CPLEX.,"[(46, 52, 'SKILL'), (57, 62, 'SKILL')]"
Worked with mainframe systems using COBOL and JCL.,"[(39, 44, 'SKILL'), (49, 52, 'SKILL')]"
Proficient in numerical computing with Fortran and Octave.,"[(44, 51, 'SKILL'), (56, 62, 'SKILL')]"
